,DateTime,Deviation,DirectionNum,DirectionText,Lat,Lon,RouteID,TripEndTime,TripHeadsign,TripID,TripStartTime,VehicleID
0,2015-03-05T05:02:02,11.0,12.0,SOUTH,38.899387,-77.021912,70.0,2015-03-05T04:56:00,ARCHIVES,6933209.0,2015-03-05T04:20:00,6372.0
1,2015-03-05T05:01:48,8.0,12.0,SOUTH,38.936749,-77.024055,70.0,2015-03-05T05:12:00,ARCHIVES,6933210.0,2015-03-05T04:36:00,6400.0
2,2015-03-05T05:01:58,-1.0,10.0,NORTH,38.950886,-77.027237,70.0,2015-03-05T05:17:00,SILVER SPRING,6933109.0,2015-03-05T04:42:00,6376.0
3,2015-03-05T05:01:51,-1.0,12.0,SOUTH,38.942135,-77.02565,70.0,2015-03-05T05:27:00,ARCHIVES,6933211.0,2015-03-05T04:46:00,6407.0
4,2015-03-05T05:02:01,2.0,12.0,SOUTH,38.99448,-77.027115,70.0,2015-03-05T05:41:00,ARCHIVES,6933212.0,2015-03-05T05:00:00,6394.0
0,2015-03-05T05:02:02,11.0,12.0,SOUTH,38.899387,-77.021912,70.0,2015-03-05T04:56:00,ARCHIVES,6933209.0,2015-03-05T04:20:00,6372.0
1,2015-03-05T05:01:48,8.0,12.0,SOUTH,38.936749,-77.024055,70.0,2015-03-05T05:12:00,ARCHIVES,6933210.0,2015-03-05T04:36:00,6400.0
2,2015-03-05T05:01:58,-1.0,10.0,NORTH,38.950886,-77.027237,70.0,2015-03-05T05:17:00,SILVER SPRING,6933109.0,2015-03-05T04:42:00,6376.0
3,2015-03-05T05:01:51,-1.0,12.0,SOUTH,38.942135,-77.02565,70.0,2015-03-05T05:27:00,ARCHIVES,6933211.0,2015-03-05T04:46:00,6407.0
4,2015-03-05T05:02:01,2.0,12.0,SOUTH,38.99448,-77.027115,70.0,2015-03-05T05:41:00,ARCHIVES,6933212.0,2015-03-05T05:00:00,6394.0
0,2015-03-05T05:02:20,11.0,12.0,SOUTH,38.899044,-77.021919,70.0,2015-03-05T04:56:00,ARCHIVES,6933209.0,2015-03-05T04:20:00,6372.0
1,2015-03-05T05:02:21,8.0,12.0,SOUTH,38.935959,-77.024033,70.0,2015-03-05T05:12:00,ARCHIVES,6933210.0,2015-03-05T04:36:00,6400.0
