,DateTime,Deviation,DirectionNum,DirectionText,Lat,Lon,RouteID,TripEndTime,TripHeadsign,TripID,TripStartTime,VehicleID
0,2015-03-08T20:23:10,38.0,10.0,NORTH,38.970623,-77.027138,70.0,2015-03-08T19:56:00,SILVER SPRING,6933536.0,2015-03-08T19:09:00,6499.0
1,2015-03-08T20:23:11,32.0,12.0,SOUTH,38.905441,-77.022003,70.0,2015-03-08T20:02:00,ARCHIVES,6933615.0,2015-03-08T19:10:00,6495.0
2,2015-03-08T20:23:00,23.0,10.0,NORTH,38.970528,-77.027145,70.0,2015-03-08T20:11:00,SILVER SPRING,6933537.0,2015-03-08T19:24:00,6494.0
3,2015-03-08T20:23:10,33.0,12.0,SOUTH,38.93708,-77.024071,70.0,2015-03-08T20:17:00,ARCHIVES,6933616.0,2015-03-08T19:25:00,6498.0
4,2015-03-08T20:23:18,17.0,10.0,NORTH,38.948555,-77.026909,70.0,2015-03-08T20:26:00,SILVER SPRING,6933538.0,2015-03-08T19:39:00,6497.0
5,2015-03-08T20:22:58,24.0,12.0,SOUTH,38.952091,-77.027481,70.0,2015-03-08T20:32:00,ARCHIVES,6933617.0,2015-03-08T19:40:00,6493.0
6,2015-03-08T20:23:18,6.0,10.0,NORTH,38.938931,-77.024719,70.0,2015-03-08T20:41:00,SILVER SPRING,6933539.0,2015-03-08T19:54:00,6488.0
7,2015-03-08T20:17:40,16.0,12.0,SOUTH,38.994297,-77.029091,70.0,2015-03-08T20:47:00,ARCHIVES,6933618.0,2015-03-08T19:55:00,6514.0
0,2015-03-08T20:28:21,38.0,10.0,NORTH,38.983692,-77.026489,70.0,2015-03-08T19:56:00,SILVER SPRING,6933536.0,2015-03-08T19:09:00,6499.0
1,2015-03-08T20:28:16,33.0,12.0,SOUTH,38.898987,-77.021919,70.0,2015-03-08T20:02:00,ARCHIVES,6933615.0,2015-03-08T19:10:00,6495.0
2,2015-03-08T20:28:27,24.0,10.0,NORTH,38.981312,-77.026436,70.0,2015-03-08T20:11:00,SILVER SPRING,6933537.0,2015-03-08T19:24:00,6494.0
3,2015-03-08T20:28:26,38.0,12.0,SOUTH,38.936798,-77.024063,70.0,2015-03-08T20:17:00,ARCHIVES,6933616.0,2015-03-08T19:25:00,6498.0
4,2015-03-08T20:28:14,16.0,10.0,NORTH,38.962688,-77.027817,70.0,2015-03-08T20:26:00,SILVER SPRING,6933538.0,2015-03-08T19:39:00,6497.0
5,2015-03-08T20:28:03,25.0,12.0,SOUTH,38.94239,-77.025749,70.0,2015-03-08T20:32:00,ARCHIVES,6933617.0,2015-03-08T19:40:00,6493.0
6,2015-03-08T20:28:19,5.0,10.0,NORTH,38.953934,-77.027641,70.0,2015-03-08T20:41:00,SILVER SPRING,6933539.0,2015-03-08T19:54:00,6488.0
7,2015-03-08T20:28:14,0.0,12.0,SOUTH,38.989067,-77.026802,70.0,2015-03-08T20:47:00,ARCHIVES,6933618.0,2015-03-08T19:55:00,6514.0
0,2015-03-08T20:28:52,38.0,10.0,NORTH,38.985523,-77.026535,70.0,2015-03-08T19:56:00,SILVER SPRING,6933536.0,2015-03-08T19:09:00,6499.0
1,2015-03-08T20:28:45,33.0,12.0,SOUTH,38.898373,-77.021973,70.0,2015-03-08T20:02:00,ARCHIVES,6933615.0,2015-03-08T19:10:00,6495.0
2,2015-03-08T20:28:33,24.0,10.0,NORTH,38.981663,-77.026497,70.0,2015-03-08T20:11:00,SILVER SPRING,6933537.0,2015-03-08T19:24:00,6494.0
3,2015-03-08T20:28:57,38.0,12.0,SOUTH,38.936672,-77.02404,70.0,2015-03-08T20:17:00,ARCHIVES,6933616.0,2015-03-08T19:25:00,6498.0
4,2015-03-08T20:28:51,16.0,10.0,NORTH,38.963985,-77.027748,70.0,2015-03-08T20:26:00,SILVER SPRING,6933538.0,2015-03-08T19:39:00,6497.0
5,2015-03-08T20:28:36,25.0,12.0,SOUTH,38.942081,-77.025635,70.0,2015-03-08T20:32:00,ARCHIVES,6933617.0,2015-03-08T19:40:00,6493.0
6,2015-03-08T20:28:49,4.0,10.0,NORTH,38.955509,-77.027878,70.0,2015-03-08T20:41:00,SILVER SPRING,6933539.0,2015-03-08T19:54:00,6488.0
7,2015-03-08T20:28:46,0.0,12.0,SOUTH,38.987877,-77.026787,70.0,2015-03-08T20:47:00,ARCHIVES,6933618.0,2015-03-08T19:55:00,6514.0
0,2015-03-08T20:28:52,38.0,10.0,NORTH,38.985523,-77.026535,70.0,2015-03-08T19:56:00,SILVER SPRING,6933536.0,2015-03-08T19:09:00,6499.0
1,2015-03-08T20:28:45,33.0,12.0,SOUTH,38.898373,-77.021973,70.0,2015-03-08T20:02:00,ARCHIVES,6933615.0,2015-03-08T19:10:00,6495.0
2,2015-03-08T20:28:33,24.0,10.0,NORTH,38.981663,-77.026497,70.0,2015-03-08T20:11:00,SILVER SPRING,6933537.0,2015-03-08T19:24:00,6494.0
3,2015-03-08T20:28:57,38.0,12.0,SOUTH,38.936672,-77.02404,70.0,2015-03-08T20:17:00,ARCHIVES,6933616.0,2015-03-08T19:25:00,6498.0
4,2015-03-08T20:28:51,16.0,10.0,NORTH,38.963985,-77.027748,70.0,2015-03-08T20:26:00,SILVER SPRING,6933538.0,2015-03-08T19:39:00,6497.0
5,2015-03-08T20:28:36,25.0,12.0,SOUTH,38.942081,-77.025635,70.0,2015-03-08T20:32:00,ARCHIVES,6933617.0,2015-03-08T19:40:00,6493.0
6,2015-03-08T20:28:49,4.0,10.0,NORTH,38.955509,-77.027878,70.0,2015-03-08T20:41:00,SILVER SPRING,6933539.0,2015-03-08T19:54:00,6488.0
7,2015-03-08T20:28:46,0.0,12.0,SOUTH,38.987877,-77.026787,70.0,2015-03-08T20:47:00,ARCHIVES,6933618.0,2015-03-08T19:55:00,6514.0
0,2015-03-08T20:29:25,38.0,10.0,NORTH,38.987144,-77.026619,70.0,2015-03-08T19:56:00,SILVER SPRING,6933536.0,2015-03-08T19:09:00,6499.0
