,DateTime,Deviation,DirectionNum,DirectionText,Lat,Lon,RouteID,TripEndTime,TripHeadsign,TripID,TripStartTime,VehicleID
0,2015-03-09T04:59:00,39.0,12.0,SOUTH,39.047398,-77.107689,70.0,2015-03-09T04:56:00,ARCHIVES,6933209.0,2015-03-09T04:20:00,5433.0
1,2015-03-09T04:59:15,1.0,12.0,SOUTH,38.924026,-77.022545,70.0,2015-03-09T05:12:00,ARCHIVES,6933210.0,2015-03-09T04:36:00,5441.0
2,2015-03-09T04:59:09,-1.0,10.0,NORTH,38.944218,-77.026009,70.0,2015-03-09T05:17:00,SILVER SPRING,6933109.0,2015-03-09T04:42:00,5448.0
3,2015-03-09T04:59:15,2.0,12.0,SOUTH,38.958481,-77.028275,70.0,2015-03-09T05:27:00,ARCHIVES,6933211.0,2015-03-09T04:46:00,5436.0
4,2015-03-09T04:59:08,-1.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-09T05:41:00,ARCHIVES,6933212.0,2015-03-09T05:00:00,5440.0
0,2015-03-09T04:59:00,39.0,12.0,SOUTH,39.047398,-77.107689,70.0,2015-03-09T04:56:00,ARCHIVES,6933209.0,2015-03-09T04:20:00,5433.0
1,2015-03-09T04:59:15,1.0,12.0,SOUTH,38.924026,-77.022545,70.0,2015-03-09T05:12:00,ARCHIVES,6933210.0,2015-03-09T04:36:00,5441.0
2,2015-03-09T04:59:09,-1.0,10.0,NORTH,38.944218,-77.026009,70.0,2015-03-09T05:17:00,SILVER SPRING,6933109.0,2015-03-09T04:42:00,5448.0
3,2015-03-09T04:59:15,2.0,12.0,SOUTH,38.958481,-77.028275,70.0,2015-03-09T05:27:00,ARCHIVES,6933211.0,2015-03-09T04:46:00,5436.0
4,2015-03-09T04:59:08,-1.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-09T05:41:00,ARCHIVES,6933212.0,2015-03-09T05:00:00,5440.0
0,2015-03-09T05:00:02,40.0,12.0,SOUTH,39.047398,-77.107689,70.0,2015-03-09T04:56:00,ARCHIVES,6933209.0,2015-03-09T04:20:00,5433.0
1,2015-03-09T05:00:15,1.0,12.0,SOUTH,38.920944,-77.022064,70.0,2015-03-09T05:12:00,ARCHIVES,6933210.0,2015-03-09T04:36:00,5441.0
2,2015-03-09T05:00:20,-1.0,10.0,NORTH,38.946484,-77.026619,70.0,2015-03-09T05:17:00,SILVER SPRING,6933109.0,2015-03-09T04:42:00,5448.0
3,2015-03-09T04:59:53,3.0,12.0,SOUTH,38.958248,-77.028267,70.0,2015-03-09T05:27:00,ARCHIVES,6933211.0,2015-03-09T04:46:00,5436.0
4,2015-03-09T05:00:12,0.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-09T05:41:00,ARCHIVES,6933212.0,2015-03-09T05:00:00,5440.0
0,2015-03-09T05:00:28,40.0,12.0,SOUTH,39.047398,-77.107689,70.0,2015-03-09T04:56:00,ARCHIVES,6933209.0,2015-03-09T04:20:00,5433.0
1,2015-03-09T05:00:47,1.0,12.0,SOUTH,38.920174,-77.021927,70.0,2015-03-09T05:12:00,ARCHIVES,6933210.0,2015-03-09T04:36:00,5441.0
2,2015-03-09T05:00:52,-2.0,10.0,NORTH,38.949848,-77.027122,70.0,2015-03-09T05:17:00,SILVER SPRING,6933109.0,2015-03-09T04:42:00,5448.0
3,2015-03-09T05:00:28,3.0,12.0,SOUTH,38.956406,-77.028114,70.0,2015-03-09T05:27:00,ARCHIVES,6933211.0,2015-03-09T04:46:00,5436.0
4,2015-03-09T05:00:44,1.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-09T05:41:00,ARCHIVES,6933212.0,2015-03-09T05:00:00,5440.0
0,2015-03-09T05:01:01,41.0,12.0,SOUTH,39.047398,-77.107689,70.0,2015-03-09T04:56:00,ARCHIVES,6933209.0,2015-03-09T04:20:00,5433.0
1,2015-03-09T05:00:47,1.0,12.0,SOUTH,38.920174,-77.021927,70.0,2015-03-09T05:12:00,ARCHIVES,6933210.0,2015-03-09T04:36:00,5441.0
2,2015-03-09T05:01:09,-2.0,10.0,NORTH,38.951969,-77.027351,70.0,2015-03-09T05:17:00,SILVER SPRING,6933109.0,2015-03-09T04:42:00,5448.0
3,2015-03-09T05:01:16,3.0,12.0,SOUTH,38.955242,-77.027946,70.0,2015-03-09T05:27:00,ARCHIVES,6933211.0,2015-03-09T04:46:00,5436.0
4,2015-03-09T05:01:16,1.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-09T05:41:00,ARCHIVES,6933212.0,2015-03-09T05:00:00,5440.0
0,2015-03-09T05:01:44,42.0,12.0,SOUTH,39.047398,-77.107689,70.0,2015-03-09T04:56:00,ARCHIVES,6933209.0,2015-03-09T04:20:00,5433.0
1,2015-03-09T05:01:47,1.0,12.0,SOUTH,38.917454,-77.021919,70.0,2015-03-09T05:12:00,ARCHIVES,6933210.0,2015-03-09T04:36:00,5441.0
2,2015-03-09T05:01:34,-2.0,10.0,NORTH,38.953983,-77.027664,70.0,2015-03-09T05:17:00,SILVER SPRING,6933109.0,2015-03-09T04:42:00,5448.0
3,2015-03-09T05:01:43,3.0,12.0,SOUTH,38.953926,-77.027748,70.0,2015-03-09T05:27:00,ARCHIVES,6933211.0,2015-03-09T04:46:00,5436.0
4,2015-03-09T05:01:48,2.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-09T05:41:00,ARCHIVES,6933212.0,2015-03-09T05:00:00,5440.0
0,2015-03-09T05:01:44,42.0,12.0,SOUTH,39.047398,-77.107689,70.0,2015-03-09T04:56:00,ARCHIVES,6933209.0,2015-03-09T04:20:00,5433.0
1,2015-03-09T05:01:47,1.0,12.0,SOUTH,38.917454,-77.021919,70.0,2015-03-09T05:12:00,ARCHIVES,6933210.0,2015-03-09T04:36:00,5441.0
2,2015-03-09T05:01:34,-2.0,10.0,NORTH,38.953983,-77.027664,70.0,2015-03-09T05:17:00,SILVER SPRING,6933109.0,2015-03-09T04:42:00,5448.0
3,2015-03-09T05:01:43,3.0,12.0,SOUTH,38.953926,-77.027748,70.0,2015-03-09T05:27:00,ARCHIVES,6933211.0,2015-03-09T04:46:00,5436.0
4,2015-03-09T05:01:48,2.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-09T05:41:00,ARCHIVES,6933212.0,2015-03-09T05:00:00,5440.0
0,2015-03-09T05:02:20,42.0,12.0,SOUTH,39.047398,-77.107689,70.0,2015-03-09T04:56:00,ARCHIVES,6933209.0,2015-03-09T04:20:00,5433.0
1,2015-03-09T05:02:54,2.0,12.0,SOUTH,38.915691,-77.021957,70.0,2015-03-09T05:12:00,ARCHIVES,6933210.0,2015-03-09T04:36:00,5441.0
2,2015-03-09T05:02:40,-2.0,10.0,NORTH,38.95607,-77.027946,70.0,2015-03-09T05:17:00,SILVER SPRING,6933109.0,2015-03-09T04:42:00,5448.0
3,2015-03-09T05:02:25,3.0,12.0,SOUTH,38.951607,-77.02742,70.0,2015-03-09T05:27:00,ARCHIVES,6933211.0,2015-03-09T04:46:00,5436.0
4,2015-03-09T05:02:52,3.0,12.0,SOUTH,38.994427,-77.028702,70.0,2015-03-09T05:41:00,ARCHIVES,6933212.0,2015-03-09T05:00:00,5440.0
0,2015-03-09T05:02:20,42.0,12.0,SOUTH,39.047398,-77.107689,70.0,2015-03-09T04:56:00,ARCHIVES,6933209.0,2015-03-09T04:20:00,5433.0
1,2015-03-09T05:02:54,2.0,12.0,SOUTH,38.915691,-77.021957,70.0,2015-03-09T05:12:00,ARCHIVES,6933210.0,2015-03-09T04:36:00,5441.0
2,2015-03-09T05:02:40,-2.0,10.0,NORTH,38.95607,-77.027946,70.0,2015-03-09T05:17:00,SILVER SPRING,6933109.0,2015-03-09T04:42:00,5448.0
3,2015-03-09T05:02:25,3.0,12.0,SOUTH,38.951607,-77.02742,70.0,2015-03-09T05:27:00,ARCHIVES,6933211.0,2015-03-09T04:46:00,5436.0
4,2015-03-09T05:02:52,3.0,12.0,SOUTH,38.994427,-77.028702,70.0,2015-03-09T05:41:00,ARCHIVES,6933212.0,2015-03-09T05:00:00,5440.0
0,2015-03-09T05:03:27,43.0,12.0,SOUTH,39.047398,-77.107689,70.0,2015-03-09T04:56:00,ARCHIVES,6933209.0,2015-03-09T04:20:00,5433.0
1,2015-03-09T05:03:55,2.0,12.0,SOUTH,38.912582,-77.02198,70.0,2015-03-09T05:12:00,ARCHIVES,6933210.0,2015-03-09T04:36:00,5441.0
2,2015-03-09T05:03:41,-1.0,10.0,NORTH,38.957119,-77.028122,70.0,2015-03-09T05:17:00,SILVER SPRING,6933109.0,2015-03-09T04:42:00,5448.0
3,2015-03-09T05:03:46,3.0,12.0,SOUTH,38.948135,-77.026939,70.0,2015-03-09T05:27:00,ARCHIVES,6933211.0,2015-03-09T04:46:00,5436.0
4,2015-03-09T05:03:54,4.0,12.0,SOUTH,38.994461,-77.026955,70.0,2015-03-09T05:41:00,ARCHIVES,6933212.0,2015-03-09T05:00:00,5440.0
0,2015-03-09T05:04:22,44.0,12.0,SOUTH,39.047398,-77.107689,70.0,2015-03-09T04:56:00,ARCHIVES,6933209.0,2015-03-09T04:20:00,5433.0
