,DateTime,Deviation,DirectionNum,DirectionText,Lat,Lon,RouteID,TripEndTime,TripHeadsign,TripID,TripStartTime,VehicleID
0,2015-02-26T22:54:32,7.0,10.0,NORTH,38.994427,-77.02861,70.0,2015-02-26T22:48:00,SILVER SPRING,6933187.0,2015-02-26T21:58:00,2121.0
1,2015-02-26T22:54:10,43.0,12.0,SOUTH,39.04739,-77.108788,70.0,2015-02-26T22:51:00,ARCHIVES,6933292.0,2015-02-26T22:07:00,5436.0
2,2015-02-26T22:54:21,9.0,12.0,SOUTH,38.900051,-77.022026,70.0,2015-02-26T22:51:00,ARCHIVES,6933292.0,2015-02-26T22:07:00,4266.0
3,2015-02-26T22:54:12,7.0,10.0,NORTH,38.967232,-77.027397,70.0,2015-02-26T23:00:00,SILVER SPRING,6933188.0,2015-02-26T22:10:00,5432.0
4,2015-02-26T22:54:19,5.0,12.0,SOUTH,38.916496,-77.021957,70.0,2015-02-26T23:03:00,ARCHIVES,6933293.0,2015-02-26T22:19:00,7225.0
5,2015-02-26T22:54:31,7.0,10.0,NORTH,38.944561,-77.026138,70.0,2015-02-26T23:09:00,SILVER SPRING,6933204.0,2015-02-26T22:22:00,7217.0
6,2015-02-26T22:54:25,9.0,12.0,SOUTH,38.956116,-77.028076,70.0,2015-02-26T23:15:00,ARCHIVES,6933308.0,2015-02-26T22:31:00,2114.0
7,2015-02-26T22:54:24,9.0,10.0,NORTH,38.909904,-77.021881,70.0,2015-02-26T23:21:00,SILVER SPRING,6933189.0,2015-02-26T22:34:00,5304.0
8,2015-02-26T22:54:36,0.0,10.0,NORTH,38.904308,-77.021896,70.0,2015-02-26T23:33:00,SILVER SPRING,6933190.0,2015-02-26T22:46:00,7213.0
9,2015-02-26T22:54:33,3.0,12.0,SOUTH,38.988903,-77.026802,70.0,2015-02-26T23:27:00,ARCHIVES,6933294.0,2015-02-26T22:50:00,2119.0
0,2015-02-26T22:55:00,0.0,10.0,NORTH,38.994404,-77.028694,70.0,2015-02-26T22:48:00,SILVER SPRING,6933187.0,2015-02-26T21:58:00,2121.0
1,2015-02-26T22:54:44,44.0,12.0,SOUTH,39.04739,-77.108788,70.0,2015-02-26T22:51:00,ARCHIVES,6933292.0,2015-02-26T22:07:00,5436.0
2,2015-02-26T22:54:53,9.0,12.0,SOUTH,38.899979,-77.022003,70.0,2015-02-26T22:51:00,ARCHIVES,6933292.0,2015-02-26T22:07:00,4266.0
3,2015-02-26T22:54:43,7.0,10.0,NORTH,38.967472,-77.02739,70.0,2015-02-26T23:00:00,SILVER SPRING,6933188.0,2015-02-26T22:10:00,5432.0
4,2015-02-26T22:54:51,5.0,12.0,SOUTH,38.916496,-77.021957,70.0,2015-02-26T23:03:00,ARCHIVES,6933293.0,2015-02-26T22:19:00,7225.0
5,2015-02-26T22:55:04,7.0,10.0,NORTH,38.946144,-77.02652,70.0,2015-02-26T23:09:00,SILVER SPRING,6933204.0,2015-02-26T22:22:00,7217.0
6,2015-02-26T22:54:38,8.0,12.0,SOUTH,38.954773,-77.027878,70.0,2015-02-26T23:15:00,ARCHIVES,6933308.0,2015-02-26T22:31:00,2114.0
7,2015-02-26T22:54:59,9.0,10.0,NORTH,38.912125,-77.021851,70.0,2015-02-26T23:21:00,SILVER SPRING,6933189.0,2015-02-26T22:34:00,5304.0
8,2015-02-26T22:54:36,0.0,10.0,NORTH,38.904308,-77.021896,70.0,2015-02-26T23:33:00,SILVER SPRING,6933190.0,2015-02-26T22:46:00,7213.0
9,2015-02-26T22:55:07,3.0,12.0,SOUTH,38.98772,-77.026756,70.0,2015-02-26T23:27:00,ARCHIVES,6933294.0,2015-02-26T22:50:00,2119.0
0,2015-02-26T22:55:33,0.0,10.0,NORTH,38.994404,-77.028694,70.0,2015-02-26T22:48:00,SILVER SPRING,6933187.0,2015-02-26T21:58:00,2121.0
1,2015-02-26T22:55:17,44.0,12.0,SOUTH,39.04739,-77.108788,70.0,2015-02-26T22:51:00,ARCHIVES,6933292.0,2015-02-26T22:07:00,5436.0
2,2015-02-26T22:55:26,9.0,12.0,SOUTH,38.897301,-77.02198,70.0,2015-02-26T22:51:00,ARCHIVES,6933292.0,2015-02-26T22:07:00,4266.0
3,2015-02-26T22:55:21,7.0,10.0,NORTH,38.969189,-77.027252,70.0,2015-02-26T23:00:00,SILVER SPRING,6933188.0,2015-02-26T22:10:00,5432.0
4,2015-02-26T22:55:32,5.0,12.0,SOUTH,38.91534,-77.021942,70.0,2015-02-26T23:03:00,ARCHIVES,6933293.0,2015-02-26T22:19:00,7225.0
5,2015-02-26T22:55:38,6.0,10.0,NORTH,38.948265,-77.026863,70.0,2015-02-26T23:09:00,SILVER SPRING,6933204.0,2015-02-26T22:22:00,7217.0
6,2015-02-26T22:55:26,8.0,12.0,SOUTH,38.951763,-77.027443,70.0,2015-02-26T23:15:00,ARCHIVES,6933308.0,2015-02-26T22:31:00,2114.0
7,2015-02-26T22:55:31,10.0,10.0,NORTH,38.912125,-77.021851,70.0,2015-02-26T23:21:00,SILVER SPRING,6933189.0,2015-02-26T22:34:00,5304.0
8,2015-02-26T22:55:38,0.0,10.0,NORTH,38.907005,-77.021881,70.0,2015-02-26T23:33:00,SILVER SPRING,6933190.0,2015-02-26T22:46:00,7213.0
9,2015-02-26T22:55:07,3.0,12.0,SOUTH,38.98772,-77.026756,70.0,2015-02-26T23:27:00,ARCHIVES,6933294.0,2015-02-26T22:50:00,2119.0
