,DateTime,Deviation,DirectionNum,DirectionText,Lat,Lon,RouteID,TripEndTime,TripHeadsign,TripID,TripStartTime,VehicleID
0,2015-03-12T07:31:14,4.0,10.0,NORTH,38.99271,-77.031395,70.0,2015-03-12T07:30:00,SILVER SPRING,6933113.0,2015-03-12T06:39:00,5443.0
1,2015-03-12T07:31:14,0.0,12.0,SOUTH,38.900654,-77.021973,70.0,2015-03-12T07:38:00,ARCHIVES,6933220.0,2015-03-12T06:42:00,5431.0
2,2015-03-12T07:31:08,-1.0,10.0,NORTH,38.97591,-77.026596,70.0,2015-03-12T07:43:00,SILVER SPRING,6933114.0,2015-03-12T06:52:00,5440.0
3,2015-03-12T07:31:09,1.0,12.0,SOUTH,38.922142,-77.022263,70.0,2015-03-12T07:50:00,ARCHIVES,6933221.0,2015-03-12T06:54:00,5439.0
4,2015-03-12T07:31:21,6.0,10.0,NORTH,38.931309,-77.023544,70.0,2015-03-12T07:56:00,SILVER SPRING,6933115.0,2015-03-12T07:05:00,5446.0
5,2015-03-12T07:31:19,3.0,12.0,SOUTH,38.946285,-77.02668,70.0,2015-03-12T08:02:00,ARCHIVES,6933222.0,2015-03-12T07:06:00,5438.0
6,2015-03-12T07:31:10,-1.0,10.0,NORTH,38.917213,-77.021896,70.0,2015-03-12T08:12:00,SILVER SPRING,6933116.0,2015-03-12T07:16:00,5432.0
7,2015-03-12T07:31:06,2.0,12.0,SOUTH,38.968235,-77.027451,70.0,2015-03-12T08:14:00,ARCHIVES,6933223.0,2015-03-12T07:18:00,5445.0
0,2015-03-12T07:31:46,4.0,10.0,NORTH,38.99271,-77.031395,70.0,2015-03-12T07:30:00,SILVER SPRING,6933113.0,2015-03-12T06:39:00,5443.0
1,2015-03-12T07:31:48,0.0,12.0,SOUTH,38.900185,-77.022011,70.0,2015-03-12T07:38:00,ARCHIVES,6933220.0,2015-03-12T06:42:00,5431.0
2,2015-03-12T07:31:40,-1.0,10.0,NORTH,38.977036,-77.026489,70.0,2015-03-12T07:43:00,SILVER SPRING,6933114.0,2015-03-12T06:52:00,5440.0
3,2015-03-12T07:31:45,1.0,12.0,SOUTH,38.920845,-77.022049,70.0,2015-03-12T07:50:00,ARCHIVES,6933221.0,2015-03-12T06:54:00,5439.0
4,2015-03-12T07:32:01,5.0,10.0,NORTH,38.932949,-77.02372,70.0,2015-03-12T07:56:00,SILVER SPRING,6933115.0,2015-03-12T07:05:00,5446.0
5,2015-03-12T07:31:39,3.0,12.0,SOUTH,38.94598,-77.026588,70.0,2015-03-12T08:02:00,ARCHIVES,6933222.0,2015-03-12T07:06:00,5438.0
6,2015-03-12T07:31:42,-1.0,10.0,NORTH,38.917606,-77.021835,70.0,2015-03-12T08:12:00,SILVER SPRING,6933116.0,2015-03-12T07:16:00,5432.0
7,2015-03-12T07:31:39,2.0,12.0,SOUTH,38.967388,-77.027534,70.0,2015-03-12T08:14:00,ARCHIVES,6933223.0,2015-03-12T07:18:00,5445.0
8,2015-03-12T07:31:47,0.0,12.0,SOUTH,38.994495,-77.028793,70.0,2015-03-12T08:26:00,ARCHIVES,6933224.0,2015-03-12T07:30:00,5441.0
0,2015-03-12T07:31:46,4.0,10.0,NORTH,38.99271,-77.031395,70.0,2015-03-12T07:30:00,SILVER SPRING,6933113.0,2015-03-12T06:39:00,5443.0
1,2015-03-12T07:31:48,0.0,12.0,SOUTH,38.900185,-77.022011,70.0,2015-03-12T07:38:00,ARCHIVES,6933220.0,2015-03-12T06:42:00,5431.0
2,2015-03-12T07:31:40,-1.0,10.0,NORTH,38.977036,-77.026489,70.0,2015-03-12T07:43:00,SILVER SPRING,6933114.0,2015-03-12T06:52:00,5440.0
3,2015-03-12T07:31:45,1.0,12.0,SOUTH,38.920845,-77.022049,70.0,2015-03-12T07:50:00,ARCHIVES,6933221.0,2015-03-12T06:54:00,5439.0
4,2015-03-12T07:32:01,5.0,10.0,NORTH,38.932949,-77.02372,70.0,2015-03-12T07:56:00,SILVER SPRING,6933115.0,2015-03-12T07:05:00,5446.0
5,2015-03-12T07:31:39,3.0,12.0,SOUTH,38.94598,-77.026588,70.0,2015-03-12T08:02:00,ARCHIVES,6933222.0,2015-03-12T07:06:00,5438.0
6,2015-03-12T07:31:42,-1.0,10.0,NORTH,38.917606,-77.021835,70.0,2015-03-12T08:12:00,SILVER SPRING,6933116.0,2015-03-12T07:16:00,5432.0
7,2015-03-12T07:31:39,2.0,12.0,SOUTH,38.967388,-77.027534,70.0,2015-03-12T08:14:00,ARCHIVES,6933223.0,2015-03-12T07:18:00,5445.0
8,2015-03-12T07:31:47,0.0,12.0,SOUTH,38.994495,-77.028793,70.0,2015-03-12T08:26:00,ARCHIVES,6933224.0,2015-03-12T07:30:00,5441.0
0,2015-03-12T07:32:16,5.0,10.0,NORTH,38.99271,-77.031395,70.0,2015-03-12T07:30:00,SILVER SPRING,6933113.0,2015-03-12T06:39:00,5443.0
1,2015-03-12T07:32:29,0.0,12.0,SOUTH,38.898823,-77.021935,70.0,2015-03-12T07:38:00,ARCHIVES,6933220.0,2015-03-12T06:42:00,5431.0
2,2015-03-12T07:32:32,-2.0,10.0,NORTH,38.979984,-77.026436,70.0,2015-03-12T07:43:00,SILVER SPRING,6933114.0,2015-03-12T06:52:00,5440.0
3,2015-03-12T07:32:23,0.0,12.0,SOUTH,38.918842,-77.021912,70.0,2015-03-12T07:50:00,ARCHIVES,6933221.0,2015-03-12T06:54:00,5439.0
4,2015-03-12T07:32:33,4.0,10.0,NORTH,38.934944,-77.023987,70.0,2015-03-12T07:56:00,SILVER SPRING,6933115.0,2015-03-12T07:05:00,5446.0
5,2015-03-12T07:32:28,3.0,12.0,SOUTH,38.943878,-77.02607,70.0,2015-03-12T08:02:00,ARCHIVES,6933222.0,2015-03-12T07:06:00,5438.0
