,DateTime,Deviation,DirectionNum,DirectionText,Lat,Lon,RouteID,TripEndTime,TripHeadsign,TripID,TripStartTime,VehicleID
0,2015-02-27T05:34:06,4.0,12.0,SOUTH,38.910023,-77.021935,70.0,2015-02-27T05:41:00,ARCHIVES,6933212.0,2015-02-27T05:00:00,5448.0
1,2015-02-27T05:34:04,2.0,10.0,NORTH,38.961231,-77.027924,70.0,2015-02-27T05:45:00,SILVER SPRING,6933110.0,2015-02-27T05:02:00,5443.0
2,2015-02-27T05:34:05,5.0,12.0,SOUTH,38.941933,-77.025581,70.0,2015-02-27T05:53:00,ARCHIVES,6933213.0,2015-02-27T05:12:00,5433.0
3,2015-02-27T05:34:11,3.0,10.0,NORTH,38.922539,-77.022331,70.0,2015-02-27T06:01:00,SILVER SPRING,6933105.0,2015-02-27T05:18:00,5436.0
4,2015-02-27T05:33:50,4.0,12.0,SOUTH,38.972519,-77.027039,70.0,2015-02-27T06:05:00,ARCHIVES,6933214.0,2015-02-27T05:24:00,5447.0
5,2015-02-27T05:34:01,-1.0,10.0,NORTH,38.896893,-77.021965,70.0,2015-02-27T06:15:00,SILVER SPRING,6933104.0,2015-02-27T05:32:00,5432.0
0,2015-02-27T05:34:38,3.0,12.0,SOUTH,38.90691,-77.021973,70.0,2015-02-27T05:41:00,ARCHIVES,6933212.0,2015-02-27T05:00:00,5448.0
1,2015-02-27T05:34:14,3.0,10.0,NORTH,38.961555,-77.027878,70.0,2015-02-27T05:45:00,SILVER SPRING,6933110.0,2015-02-27T05:02:00,5443.0
2,2015-02-27T05:34:41,5.0,12.0,SOUTH,38.939781,-77.024857,70.0,2015-02-27T05:53:00,ARCHIVES,6933213.0,2015-02-27T05:12:00,5433.0
3,2015-02-27T05:34:42,3.0,10.0,NORTH,38.924133,-77.022499,70.0,2015-02-27T06:01:00,SILVER SPRING,6933105.0,2015-02-27T05:18:00,5436.0
4,2015-02-27T05:34:20,4.0,12.0,SOUTH,38.97208,-77.027084,70.0,2015-02-27T06:05:00,ARCHIVES,6933214.0,2015-02-27T05:24:00,5447.0
5,2015-02-27T05:34:34,-1.0,10.0,NORTH,38.897751,-77.021866,70.0,2015-02-27T06:15:00,SILVER SPRING,6933104.0,2015-02-27T05:32:00,5432.0
0,2015-02-27T05:35:40,3.0,12.0,SOUTH,38.904388,-77.021996,70.0,2015-02-27T05:41:00,ARCHIVES,6933212.0,2015-02-27T05:00:00,5448.0
1,2015-02-27T05:35:35,3.0,10.0,NORTH,38.963924,-77.027756,70.0,2015-02-27T05:45:00,SILVER SPRING,6933110.0,2015-02-27T05:02:00,5443.0
2,2015-02-27T05:35:13,5.0,12.0,SOUTH,38.938972,-77.02433,70.0,2015-02-27T05:53:00,ARCHIVES,6933213.0,2015-02-27T05:12:00,5433.0
3,2015-02-27T05:35:28,3.0,10.0,NORTH,38.926815,-77.022903,70.0,2015-02-27T06:01:00,SILVER SPRING,6933105.0,2015-02-27T05:18:00,5436.0
4,2015-02-27T05:35:21,4.0,12.0,SOUTH,38.967392,-77.027534,70.0,2015-02-27T06:05:00,ARCHIVES,6933214.0,2015-02-27T05:24:00,5447.0
5,2015-02-27T05:35:17,-1.0,10.0,NORTH,38.899559,-77.021843,70.0,2015-02-27T06:15:00,SILVER SPRING,6933104.0,2015-02-27T05:32:00,5432.0
0,2015-02-27T05:35:40,3.0,12.0,SOUTH,38.904388,-77.021996,70.0,2015-02-27T05:41:00,ARCHIVES,6933212.0,2015-02-27T05:00:00,5448.0
